Machine Type,MACHINE,Problem Description,Root Cause,Action Taken
General Equipment,Cosmatic sticking,FAI 123-1 FAIL,Identified during failure analysis,Offset provide in CCD
General Equipment,LQC,Water ingress tape wrapping rincle issue,Identified during failure analysis,Down side block tape change
General Equipment,VHB m/c,Drive mode alarm,Identified during failure analysis,Floor tamprature 28.21
General Equipment,VHB m/c,Trans 3 Vaccum Alarm due to vacuum rod loose,Identified during failure analysis,Tight properly and run
General Equipment,Ft m/c,Upper Computer Abnormal,Identified during failure analysis,Pc restart & run
General Equipment,VHB m/c,"Trans 3,4 vacuum alarm",Identified during failure analysis,Rod change & vanchri change
Loading System,Cell loading m/c,"Turntable 2 ,3 vacuum alarm",Identified during failure analysis,All fixture clean
Loading System,Cell loading,Robot not respond,Identified during failure analysis,Restar the power or robot controller then memory clrar of robot
General Equipment,FT Machine,Discharge tank 2-1 alarm,Identified during failure analysis,Set the Fom tapeof conveyor fixture
General Equipment,Cosmetick sticking,Paper position CCD overtime out alarm,Identified during failure analysis,PC to Camera communication cable change done
Loading System,PCM loading,Protection plate,Identified during failure analysis,Takeout the pcm & memory clear of pcm shift-1
General Equipment,VHB machine,Clean-1-1 matrial abnormal,Identified during failure analysis,Set the part manualy
General Equipment,VHB Machine,Plasma up down cylinder stuck,Identified during failure analysis,Cylinder changed
General Equipment,VHB Machine,Drive alarm,Identified during failure analysis,Communication cabel changed between 16-19
Loading System,Cell loading,Robot Upd-2 is not on,Identified during failure analysis,Part remove & memory clear & run
General Equipment,Whole line,MES issue,Identified during failure analysis,Resolved by MFG
General Equipment,Whole line,Changeover,Identified during failure analysis,Changed workorder
General Equipment,LQC,Scratch issue,Identified during failure analysis,Clean VHB all station
Assembly Station,Post apmt,ST20- rotate axis alarm,Identified during failure analysis,Motor & Motor to drive communication cable change
General Equipment,Z-bending,MES PC automatically restart & afterthat software not open,Identified during failure analysis,Software restart & run
General Equipment,Leakage test,PC to PLC communication alarm due to MES PC automatically restart & afterthat software not open,Identified during failure analysis,Software restart & run
General Equipment,Function test,MES PC automatically restart & afterthat software not open,Identified during failure analysis,Software restart & run
General Equipment,Leakage test,Serious alarm,Identified during failure analysis,Machine initialize
General Equipment,VHB machine,FPC flex bend issue,Identified during failure analysis,Set the cam inclamp tape
General Equipment,Cosmetic wrapping,Wrape -1 station station pcm press block loose,Identified during failure analysis,Wrape -1 station station pcm press block tight
Assembly Station,PRE APMT Machine,FAI 38 ng,Identified during failure analysis,Cosmatic wrapping wrape-3 station right side rollar supporting tape change
Loading System,Pcm loading,MES error issue,Identified during failure analysis,Clear the cell memory
Assembly Station,Post APMT,FAI 52 FAIL,Identified during failure analysis,ALLEN AND TEAM WORK
General Equipment,FT machine,Channel no. 27 and 28 cylinder stuck,Identified during failure analysis,Stopper set
Loading System,Cell Loading,Bof Clamp open roll 2 is not on,Identified during failure analysis,"Found Carrier Faulty,then Remove Carrier."
Assembly Station,POST APMT,St 40 Axis Alarm,Identified during failure analysis,Machine Initialise.
General Equipment,Cosmetic Sticking,Upper Computer Hang,Identified during failure analysis,Software Retart.
General Equipment,Tab Bending,Fai 26 & 51 ng in post apmt,Identified during failure analysis,Al & Ni station upper block fixture tape Change.
Assembly Station,Post APMT,Two axis 2_A measurement return timeout alarm,Identified during failure analysis,We found someone taking online PC Measurement software close atuomatic then remove all part & initilize the machine.
General Equipment,Leakage Machine,PLC To HMI Commicution alarm [ serious Alarm],Identified during failure analysis,Power off & initlize the machine.
Unknown,Unknown,Main build run of ATLI,Identified during failure analysis,"CP & CPK NOT OK OF FAI 26,51"
Loading System,Unloading,Upper computer abnormal,Identified during failure analysis,PC restart
General Equipment,VHB,FPC tilt issue,Identified during failure analysis,Tape provide at fixture 4 down bearing
Loading System,Pack unloading,Carrior cover open issue,Identified during failure analysis,Carrior cover open clamp damage so tight with cable tie
Assembly Station,Post apmt,Data upload issue (SN fail),Identified during failure analysis,Reset run
General Equipment,Tab bending,"Fai 26,51 fail",Identified during failure analysis,Pcm press read switch set According to PE person
General Equipment,Cosmetic stick,2 timme change,Identified during failure analysis,Roll refeed
Battery Management Unit,BMU tape stick,1 time change,Identified during failure analysis,Roll refeed
General Equipment,Water ingress stick,1 time change,Identified during failure analysis,Roll refeed
General Equipment,TAB Cutting,Upper computer abnormal,Identified during failure analysis,Restart PC
General Equipment,OCV Test Machine,MES Connection Abnormal,Identified during failure analysis,Restart the PC & software.
General Equipment,FT Machine,Robot -3 Down CCD ng,Identified during failure analysis,Robot x pick position (-3 TO -4.5) Change
General Equipment,Cosmetic stick,1 time change,Identified during failure analysis,Roll refeed
Assembly Station,PRE APMT Machine,Bali network fail,Identified during failure analysis,PC & software restart
Assembly Station,PRE APMT Machine,All axis alarm,Identified during failure analysis,Machine initilize
Assembly Station,Pre APMT m/c,"Continous same data error due FAI 19,10,12 NA",Identified during failure analysis,PPG calibration and machine initize after calibration of whole machine
Unknown,Unknown,Drive alarm & trans 3 vaccume alarm,Identified during failure analysis,Manual operation then run
General Equipment,Leakage test,Leakage test machine not respond,Identified during failure analysis,Machine power reset & machine initialize.
General Equipment,LQC,Cosmetic side scratch issue,Identified during failure analysis,Clean VHB all station
General Equipment,VHB,VHB trans 3 vaccum alarm,Identified during failure analysis,Trans 3 vaccum rod adjust
Loading System,Pcm loading,Inbound data upload error,Identified during failure analysis,PCM lot change
Loading System,Pcm loading,Mes pc interface error,Identified during failure analysis,All PCM remove then running.
General Equipment,VHB machine,Vhb Vacuum alarm,Identified during failure analysis,Set the topping-2 pick positionmanual operation then run
General Equipment,FT machine,Dischage pogiton part position sensor not work,Identified during failure analysis,Change the sensor
General Equipment,Ft m/c,Discharge tank chain 4 is not matrial bright,Identified during failure analysis,Sensor replaced
Assembly Station,Post APMT m/c,"St20 axis b,1 time out alarm",Identified during failure analysis,Initilize the m/c
Loading System,Pcm loading,MES showing error,Identified during failure analysis,All PCM remove then running.
Loading System,Cell loading m/c,MES Showing error due to mapping no data part load,Identified during failure analysis,Cell remove
General Equipment,Ft m/c,Upper computer abnormal,Identified during failure analysis,Restart pc and run
General Equipment,VHB machine,Scratch found at LQC station,Identified during failure analysis,M/C cleaning 4 time
General Equipment,Whole line,ATLI Main build,Identified during failure analysis,Changeover 5 time & running line
Assembly Station,Post APMT,St 20 two axis 1A axis alarm,Identified during failure analysis,Clean the magnet & initilize the machine.
General Equipment,VHB Machine,Scratch found at LQC station,Identified during failure analysis,M/C cleaning
Loading System,PCM loading,MES showing error,Identified during failure analysis,Remove PCM
General Equipment,VHB Machine,Mes data upload alarm,Identified during failure analysis,Reset run
General Equipment,FT Machine,Discharge tank chain part presence sensor loose,Identified during failure analysis,Sensor tight
General Equipment,LINE-01,ATLI Main build APMT Machine Offline /Online Runnng.,Identified during failure analysis,See problem description
General Equipment,LINE-01,Old Work Order Clearance.,Identified during failure analysis,See problem description
General Equipment,FT Machine,Upper computer abnormal,Identified during failure analysis,Software restart & run
Assembly Station,POST APMT,St 20 two axis 1A axis alarm,Identified during failure analysis,Remove all parts servo position homing done machine run after initialize.
Loading System,PCM loading,Machine stop becouse hmi program was upload wrong.,Identified during failure analysis,COE team was working on it.
General Equipment,VHB Machine,Cam out roll-2 vaccum is not on.,Identified during failure analysis,Turntable fixture clean by hydrocarbon.
Loading System,Pack unloading,Pick unloading cylnder reed switch alarm.,Identified during failure analysis,Stopper and reed swiitch setting done.
General Equipment,Whole line,ATLI main build part run from Post-APMT in Online/Offline mode.,Identified during failure analysis,See problem description
